"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","12-Feb-2019","        762.80","        760.35","        760.35","        741.00","        750.40","        750.45","        748.38","    7310690","          5471189240.60","     148513","    3259568","         44.59"
"INFY","EQ","13-Feb-2019","        750.45","        750.10","        759.70","        743.65","        754.00","        754.90","        753.01","    5050182","          3802821367.55","     133702","    2418277","         47.88"
"INFY","EQ","14-Feb-2019","        754.90","        751.00","        753.00","        737.25","        740.35","        740.05","        745.60","    4610535","          3437611369.95","     113149","    2466085","         53.49"
"INFY","EQ","15-Feb-2019","        740.05","        742.30","        746.50","        732.60","        742.05","        741.95","        739.44","    5586389","          4130795666.45","      93850","    2900003","         51.91"
"INFY","EQ","18-Feb-2019","        741.95","        742.35","        747.65","        736.00","        741.00","        741.05","        739.90","    5346825","          3956112147.95","     105532","    3060004","         57.23"
"INFY","EQ","19-Feb-2019","        741.05","        739.10","        740.55","        721.30","        724.00","        724.30","        726.70","    9401334","          6831940830.90","     124664","    4041288","         42.99"
"INFY","EQ","20-Feb-2019","        724.30","        727.00","        743.00","        726.05","        740.55","        740.70","        734.78","    5210675","          3828686486.05","     130965","    2558375","         49.10"
"INFY","EQ","21-Feb-2019","        740.70","        738.00","        738.00","        727.10","        734.00","        733.45","        732.23","    7202786","          5274097398.60","     151794","    4504900","         62.54"
"INFY","EQ","22-Feb-2019","        733.45","        732.50","        738.20","        728.00","        734.90","        734.95","        733.71","    3750833","          2752041713.00","      99246","    1775166","         47.33"
"INFY","BL","25-Feb-2019","       1220.15","        734.95","        734.95","        734.95","        734.95","        734.95","        734.95","    1263230","           928410888.50","          1","          0","          0.00"
"INFY","EQ","25-Feb-2019","        734.95","        735.55","        758.00","        735.55","        755.00","        754.90","        749.20","    6547552","          4905413918.05","     155205","    3296211","         50.34"
"INFY","EQ","26-Feb-2019","        754.90","        748.60","        752.60","        740.15","        741.55","        742.50","        745.77","    8319610","          6204521714.05","     188778","    5101741","         61.32"
"INFY","EQ","27-Feb-2019","        742.50","        745.00","        746.40","        732.75","        734.50","        735.25","        738.56","    5936354","          4384324580.20","     181469","    3554571","         59.88"
